# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -353.18 0.616227 14.0529
2000 -354.513 0.586379 13.6035
4000 -355.747 0.520905 12.2173
6000 -356.801 0.486816 10.11
8000 -357.629 0.389822 7.11949
10000 -358.149 0.385361 3.64028
12000 -358.323 0.352663 -0.379462
14000 -358.105 0.330208 -4.4973
16000 -357.509 0.32758 -8.51639
18000 -356.569 0.251524 -12.0239
20000 -355.334 0.146271 -14.4603
22000 -353.927 -0.00201775 -15.7691
24000 -352.469 -0.171648 -15.5389
26000 -351.077 -0.367878 -13.9569
28000 -349.888 -0.511367 -11.2855
30000 -348.978 -0.611252 -7.70719
32000 -348.42 -0.659825 -3.80867
34000 -348.231 -0.605619 0.236618
36000 -348.409 -0.572126 4.02483
38000 -348.929 -0.476268 7.4725
40000 -349.75 -0.421028 10.395
42000 -350.8 -0.34849 12.6241
44000 -352.033 -0.285496 14.0385
46000 -353.354 -0.252388 14.4152
48000 -354.666 -0.162157 13.8566
50000 -355.869 -0.108336 12.2388
52000 -356.901 0.00298666 9.78825
54000 -357.668 0.0929105 6.64755
56000 -358.111 0.130266 2.99843
58000 -358.214 0.112019 -0.972988
60000 -357.939 0.0731635 -4.96181
62000 -357.294 -0.0672996 -8.68828
64000 -356.34 -0.248263 -11.8345
66000 -355.124 -0.372236 -13.9883
68000 -353.755 -0.542047 -14.9748
70000 -352.353 -0.630164 -14.6443
72000 -351.046 -0.632832 -13.0188
74000 -349.931 -0.704579 -10.3008
76000 -349.117 -0.698902 -6.84583
78000 -348.637 -0.70213 -2.92137
80000 -348.529 -0.772147 1.11206
82000 -348.792 -0.803808 4.91675
84000 -349.371 -0.859215 8.34311
86000 -350.25 -0.912124 11.1284
88000 -351.349 -0.884338 13.1318
90000 -352.591 -0.858576 14.1853
92000 -353.884 -0.788584 14.2546
94000 -355.139 -0.699512 13.3167
96000 -356.269 -0.648085 11.5072
98000 -357.202 -0.594282 9.03024
100000 -357.87 -0.600769 5.94489
102000 -358.241 -0.584783 2.43365
104000 -358.27 -0.626592 -1.37316
106000 -357.942 -0.605399 -5.20026
108000 -357.263 -0.574084 -8.87891
110000 -356.278 -0.524529 -11.9519
112000 -355.045 -0.432045 -14.0757
114000 -353.672 -0.351617 -14.9556
116000 -352.304 -0.307821 -14.4258
118000 -351.027 -0.308182 -12.5565
120000 -349.994 -0.336273 -9.59267
122000 -349.258 -0.429051 -5.90022
124000 -348.88 -0.489785 -1.86978
126000 -348.875 -0.572307 2.06674
128000 -349.213 -0.594106 5.67792
130000 -349.87 -0.598372 8.77441
132000 -350.774 -0.551231 11.2366
134000 -351.885 -0.511232 12.9226
136000 -353.101 -0.506142 13.759
138000 -354.36 -0.497526 13.7359
140000 -355.58 -0.512232 12.7653
142000 -356.669 -0.521405 11.0069
144000 -357.562 -0.499782 8.48851
146000 -358.185 -0.477849 5.32315
148000 -358.494 -0.388421 1.63733
150000 -358.456 -0.264439 -2.36818
152000 -358.042 -0.161726 -6.35623
154000 -357.279 -0.018135 -10.0313
156000 -356.215 0.0504151 -12.9618
158000 -354.921 0.107826 -14.7847
160000 -353.527 0.113881 -15.2313
162000 -352.154 0.0869335 -14.3252
164000 -350.922 0.0960842 -12.1644
166000 -349.936 0.0908229 -9.08478
168000 -349.265 0.134036 -5.4301
170000 -348.94 0.187471 -1.57753
172000 -348.979 0.257567 2.20081
174000 -349.352 0.304259 5.70263
176000 -350.029 0.347459 8.75406
178000 -350.978 0.324494 11.2351
180000 -352.115 0.291619 12.9998
182000 -353.362 0.204748 13.8264
184000 -354.662 0.143944 13.6794
186000 -355.881 0.0970346 12.5104
188000 -356.955 0.1305 10.454
190000 -357.805 0.137171 7.5871
192000 -358.349 0.197243 4.12671
194000 -358.575 0.240197 0.263213
196000 -358.42 0.251423 -3.73429
198000 -357.906 0.286401 -7.65472
200000 -357.048 0.270552 -11.088
