# Time-averaged data for fix fxOutput
# TimeStep c_0 c_2[1] c_2[2]
0 -875.686 0.00435696 -30.1799
2000 -872.927 -0.114064 -28.9088
4000 -870.461 -0.447689 -25.2696
6000 -868.477 -0.963568 -19.4547
8000 -867.156 -1.33714 -12.5665
10000 -866.529 -1.64377 -4.70909
12000 -866.558 -1.59479 2.85107
14000 -867.164 -1.28315 10.0248
16000 -868.332 -0.661133 16.0577
18000 -869.949 0.151725 20.6357
20000 -871.928 1.00336 23.8568
22000 -874.121 1.82796 25.2753
24000 -876.421 2.26277 25.4561
26000 -878.642 2.44304 24.1619
28000 -880.668 2.23054 21.6331
30000 -882.4 1.71656 17.9495
32000 -883.708 1.12518 13.1051
34000 -884.563 0.444694 7.30955
36000 -884.898 -0.0404159 0.639667
38000 -884.655 -0.382868 -6.32627
40000 -883.805 -0.393501 -13.3544
42000 -882.357 -0.168608 -19.7977
44000 -880.333 0.228358 -24.989
46000 -877.849 0.599941 -28.5121
48000 -875.144 0.765674 -29.7372
50000 -872.399 0.75892 -28.5738
52000 -869.905 0.383819 -24.9733
54000 -867.875 -0.203828 -19.2551
56000 -866.474 -0.928995 -12.0138
58000 -865.842 -1.66624 -3.85761
60000 -865.975 -2.22613 4.35223
62000 -866.825 -2.51622 12.0066
64000 -868.3 -2.44165 18.3212
66000 -870.26 -2.03039 23.0488
68000 -872.526 -1.32762 25.8614
70000 -874.97 -0.492952 26.8075
72000 -877.402 0.271919 26.002
74000 -879.677 0.886996 23.6317
76000 -881.647 1.20537 20.0566
78000 -883.222 1.23096 15.4478
80000 -884.329 1.0346 10.0702
82000 -884.913 0.652434 4.17785
84000 -884.977 0.239521 -2.16489
86000 -884.489 -0.0603567 -8.50375
88000 -883.447 -0.0575394 -14.6439
90000 -881.887 0.0971523 -20.1849
92000 -879.835 0.580845 -24.6178
94000 -877.429 1.13731 -27.5406
96000 -874.809 1.64078 -28.5852
98000 -872.15 2.0216 -27.375
100000 -869.704 2.12763 -23.9324
102000 -867.659 1.8525 -18.5085
104000 -866.216 1.26423 -11.3168
106000 -865.536 0.438944 -3.20419
108000 -865.648 -0.461731 5.19931
110000 -866.552 -1.26097 13.1478
112000 -868.132 -1.82978 19.8312
114000 -870.241 -2.07993 24.7932
116000 -872.699 -1.97458 27.6528
118000 -875.313 -1.64427 28.2937
120000 -877.88 -1.09016 26.8864
122000 -880.241 -0.537222 23.6816
124000 -882.219 -0.123792 19.0562
126000 -883.709 0.0849944 13.4618
128000 -884.667 0.0135635 7.33791
130000 -885.047 -0.270716 0.967952
132000 -884.856 -0.689917 -5.30992
134000 -884.131 -1.07336 -11.2305
136000 -882.898 -1.32223 -16.5823
138000 -881.219 -1.27141 -21.1208
140000 -879.2 -0.926092 -24.5273
142000 -876.902 -0.297963 -26.5512
144000 -874.458 0.513433 -26.9482
146000 -872.033 1.3369 -25.4851
148000 -869.775 2.0161 -22.1163
150000 -867.89 2.42709 -16.8862
152000 -866.547 2.45455 -10.1525
154000 -865.89 2.2063 -2.34621
156000 -865.967 1.60942 5.85948
158000 -866.819 0.8725 13.7293
160000 -868.367 0.193295 20.5654
162000 -870.481 -0.409535 25.7148
164000 -872.994 -0.704237 28.74
166000 -875.677 -0.717085 29.3693
168000 -878.32 -0.501187 27.721
170000 -880.703 -0.128842 24.0065
172000 -882.659 0.208854 18.6441
174000 -884.047 0.440825 12.1731
176000 -884.823 0.410186 5.15917
178000 -884.948 0.118245 -1.83674
180000 -884.472 -0.443494 -8.44745
182000 -883.454 -1.10269 -14.2708
184000 -881.991 -1.75437 -19.0343
186000 -880.184 -2.23551 -22.6575
188000 -878.109 -2.46633 -24.9446
190000 -875.906 -2.25553 -25.8855
192000 -873.65 -1.78638 -25.3328
194000 -871.474 -1.02589 -23.2318
196000 -869.526 -0.175985 -19.6213
198000 -867.944 0.6594 -14.4952
200000 -866.86 1.24123 -8.20251
